t_desc_centro%t_direccion%t_cod_postal%t_telefono%t_latitud%t_longitud%t_desc_provincia%t_desc_localidad%t_desc_zona
CADE Lebrija%Oficina de Fomento Económico. C/ Ignacio Halcón, 6.%41740%955838973%36.920314%-6.078851%SEVILLA%LEBRIJA%Bajo Guadalquivir
CADE Los Palacios y Villafranca%Avda. Miguel Ángel s/n Esquina C/ Los Molares%41720%955837580%37.163705%-5.935010%SEVILLA%PALACIOS Y VILLAFRANCA (LOS)%Bajo Guadalquivir
CADE Montellano%C/ Martín Salazar, nº 10-12, 1ª planta%41770%955831449%36.994592%-5.570047%SEVILLA%MONTELLANO%Bajo Guadalquivir
CADE Utrera%P.I. El Torno. C/ Toneleros, nº 1.%41710%955839203%37.196503%-5.794193%SEVILLA%UTRERA%Bajo Guadalquivir
CADE Arahal%P.I. Huerto Ordóñez. C/ Chapistas, 17%41600%955967510%37.247027%-5.547323%SEVILLA%ARAHAL%Campiña Sevillana
CADE Carmona%Camino Marruecos, s/n. Edificio Hytasa.%41410%954196320%37.477191%-5.644612%SEVILLA%CARMONA%Campiña Sevillana
CADE Écija%Polígono La Campiña, parcela 25%41400%955879200%37.529493%-5.118502%SEVILLA%ECIJA%Campiña Sevillana
CADE Estepa%Polígono Industrial Sierra Sur. Avda. Badia Polesine, s/n. Edifi. Centro de Iniciativas Empresariales%41560%954822542%37.298141%-4.883143%SEVILLA%ESTEPA%Campiña Sevillana
CADE Herrera%P.I. El Bujeo. C/ Casariche , 47.%41567%954822910%37.363736%-4.848564%SEVILLA%HERRERA%Campiña Sevillana
CADE Mairena del Alcor%C/ San Fernando, 1, 2º izq.%41510%955649631%37.372920%-5.747523%SEVILLA%MAIRENA DEL ALCOR%Campiña Sevillana
CADE Marchena%P.I. Camino Hondo. C/ Carpintería, Edif. Centro Empresa.%41620%955967616%37.321805%-5.410187%SEVILLA%MARCHENA%Campiña Sevillana
CADE Morón de la Frontera%P.I. Tejar de Carmona. C/ Tientos, 4.%41530%955856160%37.128520%-5.456675%SEVILLA%MORON DE LA FRONTERA%Campiña Sevillana
CADE Osuna%Centro de Apoyo al Empleo. P.I. El Ejido. Ctra. de Écija%41640%954815770%37.248726%-5.109619%SEVILLA%OSUNA%Campiña Sevillana
CADE Alcalá de Guadaira%P.I. "Alcalá X". Autovía Sevilla-Málaga (A-92), Km. 6,3 Manzana 5%41500%954782006%37.359890%-5.875325%SEVILLA%ALCALA DE GUADAIRA%Centro Regional de Sevilla
CADE Benacazón%Vivero de Empresas. P.I. La Choza. Calle Innovación, nº 14-16%41805%955656657%37.351866%-6.204690%SEVILLA%BENACAZON%Centro Regional de Sevilla
CADE Camas%Plaza Nuestra Sra. de los Dolores, s/n%41900%955989210%37.383200%-6.035783%SEVILLA%CAMAS%Centro Regional de Sevilla
CADE Castilleja de la Cuesta%C/ Príncipe de Asturias, s/n, Plaza Sagrado Corazón de Jesús%41950%955656663%37.388385%-6.051074%SEVILLA%CASTILLEJA DE LA CUESTA%Centro Regional de Sevilla
CADE Cerro del Águila%C/ Francisco Carrera Iglesias 2, Acc - Edificio Águila%41006%%37.372835%-5.957621%SEVILLA%SEVILLA%Centro Regional de Sevilla
CADE Dos Hermanas%P.I. Autovía. Carretera Sevilla-Cádiz, Km 555%41700%954782004%37.275726%-5.933958%SEVILLA%DOS HERMANAS%Centro Regional de Sevilla
CADE La Puebla del Río%P.I. El Prado. Avda. Andalucía, s/n.%41130%955622374%37.260366%-6.072263%SEVILLA%PUEBLA DEL RIO (LA)%Centro Regional de Sevilla
CADE La Rinconada%P.I. El Cáñamo. C/ Carretera Bética 163, 1ª Planta.%41300%955623930%37.484410%-5.939322%SEVILLA%RINCONADA (LA)%Centro Regional de Sevilla
CADE Mairena del Aljarafe%Polígono Pisa. Edificio Sodefesa. C/ Artesanía, 23%41927%954782008%37.357537%-6.054990%SEVILLA%MAIRENA DEL ALJARAFE%Centro Regional de Sevilla
CADE San Juan de Aznalfarache%Autovía Sevilla-Coria del Río, Km 3,5%41920%954178950%37.360701%-6.032385%SEVILLA%SAN JUAN DE AZNALFARACHE%Centro Regional de Sevilla
CADE Sanlúcar la Mayor%Centro Multifuncional de Empleo y Formación. Plaza de la Constitución, s/n%41800%954785175%37.378839%-6.199831%SEVILLA%SANLUCAR LA MAYOR%Centro Regional de Sevilla
CADE Sevilla Centro%Alameda de Hércules, 32-33, 1º%41002%954782010%37.398590%-5.994053%SEVILLA%SEVILLA%Centro Regional de Sevilla
CADE Tecnoincubadora Cartuja%C/ Leonardo da Vinci 18. Parque Tecnológico Cartuja%41092%954787270%37.406560%-6.006848%SEVILLA%SEVILLA%Centro Regional de Sevilla
CADE Valencina de la Concepción%Centro de Formación. C/ Bulería, s/n.%41907%955656661%37.412906%-6.081759%SEVILLA%VALENCINA DE LA CONCEPCION%Centro Regional de Sevilla
Servicios Centrales%C/ Graham Bell, nº 5, Edificio Rubén Darío%41010%955929806%37.375549%-6.009886%SEVILLA%SEVILLA%Centro Regional de Sevilla
CADE Alcalá del Río%P.I. Las Calquillas, Nave 1%41200%955622536%37.523163%-5.976541%SEVILLA%ALCALA DEL RIO%Sierra Norte y Vega del Guadalquivir
CADE Aznalcóllar%Biblioteca Municipal. Plaza Maestra Mercedes Carnacedo, 4.%41870%955739504%37.524193%-6.269546%SEVILLA%AZNALCOLLAR%Sierra Norte y Vega del Guadalquivir
CADE Cantillana%Polígono Nª Sra. de la Soledad. CAFA – Centro AEPSA de Formación Agroalimentario.%41320%955731962%37.613628%-5.820490%SEVILLA%CANTILLANA%Sierra Norte y Vega del Guadalquivir
CADE Cazalla de la Sierra%Edificio Los Escolares, s/n%41370%954883815%37.929795%-5.760397%SEVILLA%CAZALLA DE LA SIERRA%Sierra Norte y Vega del Guadalquivir
CADE El Pedroso%Mercado de Abastos. C/ Prado, s/n.%41360%955889590%37.839843%-5.764378%SEVILLA%PEDROSO (EL)%Sierra Norte y Vega del Guadalquivir
CADE El Real de la Jara%P.I. La Encina Parcela I%41250%955739526%37.950238%-6.152955%SEVILLA%REAL DE LA JARA (EL)%Sierra Norte y Vega del Guadalquivir
CADE Gerena%Edificio Pozuelos, s/n%41860%954117975%37.530616%-6.151753%SEVILLA%GERENA%Sierra Norte y Vega del Guadalquivir
CADE Lora del Río%Parque Industrial y de Servicios Matallana, 1ª Fase, C/ Herrería, nº 12%41440%954804140%37.659230%-5.526284%SEVILLA%LORA DEL RIO%Sierra Norte y Vega del Guadalquivir
