"PROVINCIA","LOCALIDAD","CENTRO","DIRECCION"
"Sevilla","Aguadulce","CSP de Aguadulce","Avda. Las Palmeras s/n"
"Sevilla","Alcalá de Guadaira","CSSC Alcalá de Guadaira","C/ Telmo Maqueda, s/n"
"Sevilla","Alcalá de Guadaira","CSP “Distrito Norte”","C/ Ramón J. Sender"
"Sevilla","Alcalá de Guadaira","CAMH ""AFAR""","Ctra. A-392 Alcalá- Dos Hermanas, Km 1,5"
"Sevilla","Algaba, La","CSSC de La Algaba","C/ Eusebio Torres Carranza s/n"
"Sevilla","Algamitas","Guardería Temporera","C/ Del Saucejo, s/n"
"Sevilla","Almensilla","CSP de Almensilla","C/ Aire nº 32"
"Sevilla","Arahal","CSSC  de Arahal","C/  Tapiz nº 1"
"Sevilla","Aznalcóllar","CSSC de Aznalcóllar","C/ Clemencia Buiza nº 2"
"Sevilla","Aznalcazar","CSP “Agricultura Tropical”","Plaza de España, nº 14"
"Sevilla","Aznalcazar","CSP Aznalcazar","Plaza del Cabildo, 1"
"Sevilla","Aznalcazar","CSP Aznalcazar","C/ Arrayan, 2-D"
"Sevilla","Brenes","CSSC Brenes","Passeo José Fernandez Vega nº 34"
"Sevilla","Cabezas de San Juan, Las","CSSC  Las Cabezas de San Juan","Plaza de los Martires, s/n"
"Sevilla","Cabezas de San Juan, Las","CSSC  Las Cabezas de San Juan","C/ Paco Coto (Antes Llana), s/n"
"Sevilla","Camas","CSSC Camas","C/ Juan Agustin Palomar, 16"
"Sevilla","Camas","Centro de Acogida para Marginados sin Hogar ""Federico Ozanam""","C/ Alcalde Manuel Marín nº37"
"Sevilla","Campana, La","CSP de La Campana","Avda. Fuentes de Andalucía s/n"
"Sevilla","Cantillana","CSP ""Clara Campoamor""","Bda. Pintor López Cabrera, s/n"
"Sevilla","Cañada Rosal","CSP de Cañada Rosal","C/ Campoamor s/n"
"Sevilla","Carmona","CSP “Guadajoz”","C/ Mejico s/n (Bda. Guadajoz)"
"Sevilla","Carmona","CSP “Caseta de Feria”","Real de la Feria s/n"
"Sevilla","Carmona","CSSC Carmona","Plaza de Abastos s/n"
"Sevilla","Carmona","CSSC Carmona","C/ Cibeles esq. C/ Ceres"
"Sevilla","Carmona","CSSC Carmona","C/ Claudio s/n (esq. C/Anfiteatro con Pza. Miliki)"
"Sevilla","Carrión de los Cespedes","CSP Carrión de los Cespedes","Avda. De Andalucía, nº 12"
"Sevilla","Casariche","Centro de Atención para Hijos de Trabajadores Temporeros","Avda. De la Libertad nº 39"
"Sevilla","Castilblanco de los Arroyos","CSSC Castilblanco de los Arroyos","C/ Fontanillas nº 25"
"Sevilla","Castilleja de Guzmán","CSP Castilleja de Guzmán","Pza. de España s/n"
"Sevilla",,"CSP Castilleja de Guzmán","C/ Málaga nº 2"
"Sevilla","Castilleja de la Cuesta","CSSC Castilleja de la Cuesta","Avda. Antonio Mairena (esquina Avda. Reina Sofía)"
"Sevilla","Castilleja de la Cuesta","CSP Castilleja de la Cuesta","Avda. Diputación s/n"
"Sevilla","Castillo de las Guardas","CSP Castillo de las Guardas","Plaza del Llano nº 9"
"Sevilla","Cazalla de la Sierra","CSSC Cazalla de la Sierra","C/ Matadero s/n"
"Sevilla","Constantina","CSSC de Constantina","C/ Alamos nº12"
"Sevilla","Coria del Río","CSSC ZTS Coria del Rio","C/ Cervantes nº 63"
"Sevilla","Coria del Río","CSSC Coria del Rio","C/ Huerta Rita,, nº 1"
"Sevilla","Coronil, El","CSSC El Coronil","C/ Daoiz nº 29"
"Sevilla","Corrales, Los","CSSC Los Corrales","C/ Málaga"
"Sevilla","Cuervo, El","CSP El Cuervo","C/ 4 de Diciembre nº 12"
"Sevilla","Dos Hermanas","CSSC Dos Hermanas","Parque Municipal Alqueria del Pilar"
"Sevilla","Dos Hermanas","Centro de acogida “La Alegria de Vivir”","C/ Caballeros del Pilar, nº 6"
"Sevilla","Dos Hermanas","CSSC “Alqueria del Pilar”","C/ Arsenal (Parque Municipal)"
"Sevilla","Ecija","CSP Integrado de Bienestar Social","C/ Miguel de Cervantes, 19"
"Sevilla","Ecija","CSSC Ecija","C/ Evaristo Espinosa, 8"
"Sevilla","Estepa","CSSC de Estepa","Avda. de Andalucía nº 62"
"Sevilla","Fuentes de Andalucía","CSSC de Fuentes de Andalucía","C/ General Armero, nº 131"
"Sevilla","Gelves","CSSC de Gelves","Plaza Duque de Alba nº 5"
"Sevilla","Gelves","CSSC de Gelves","C/ Practicante Rafael Flores, s/n"
"Sevilla","Gerena","CSSC de Gerena","Avda. de los Canteros nº4"
"Sevilla","Gines","CSSC de Gines","C/ Sevilla nº 10"
"Sevilla","Guillena","CSSC Guillena","C/ Real, nº 37"
"Sevilla","Guillena","CSSC de Guillena","Avda. de Burguillos s/n"
"Sevilla","Isla Mayor","CSSC de Isla Mayor","Paseo del Lucio Real s/n"
"Sevilla","Lantejuela","CSP de Lantejuela","C/ Teresa Navarro nº 8"
"Sevilla","Lebrija","CSSC de Lebrija","C/ Corredera, nº 70"
"Sevilla","Lebrija","CSP “Blas Infante”","Bda. Blas Infante"
"Sevilla","Lora del Rio","CSSC de Lora del Rio","C/ Dolores Montalbo nº 10"
"Sevilla","Lora del Rio","CSSC de Lora del Rio","Avda. de Portugal s/n"
"Sevilla","Lora del Rio","CSSC de Lora del Rio","C/ Cardenal Cervantes nº 13"
"Sevilla","Mairena del Alcor","CSSC de Mairena del Alcor","C/ Aparejador Juan Ortega"
"Sevilla","Mairena del Aljarafe","CSSC de Mairena del Aljarafe","Avda. De las Americas, s/n"
"Sevilla","Mairena del Aljarafe","CSSC de Mairena del Aljarafe","Plaza Carlos Cano s/n"
"Sevilla","Marchena","CSSC de Marchena","Plaza San Andrés, s/n"
"Sevilla","Marinaleda","CSP ""Antonio Machado"" de Marinaleda","C/ Alcalde Vicente Cejas, nº 17"
"Sevilla","Marismillas (Las)","CSP de Las Marismillas","Plaza Mayor nº 5"
"Sevilla","Martin de la Jara","CSP de Martín de la Jara","C/ San José de Calasanz"
"Sevilla","Montellano","Residencia y Guarderia para Hijos de Trabajadores Temporeros","C/ Alfonso Orti esquina C/ Ruiz Ramos nº 13"
"Sevilla","Montellano","CSSC de Montellano","Pza. de la Concepción nº 5"
"Sevilla","Montellano","CSSC de Montellano","C/ Corbacho Reina nº 11"
"Sevilla","Morón de la Frontera","CSSC Morón de la Frontera","C/ Pozo Nuevo, 56"
"Sevilla","Olilvares","CSSC de Olivares","C/ Cartuija,11"
"Sevilla","Osuna","CSSC de Osuna","C/ Profesor Fco. Olid nº 3"
"Sevilla","Osuna","Centro de Atención para Hijos de Trabajadores Temporeros","Pza. Reyes Católicos s/n"
"Sevilla","Palacios, Los","CSSC Los Palacios","Plaza de Andalucía s/n"
"Sevilla","Palacios, Los","CSSC Los Palacios","C/ Francisco Pizarro nº 8 esquina C/Juan de la Cueva"
"Sevilla","Palmar de Troya, El","CSP El Plamar de Troya","C/ Geraneo, s/n"
"Sevilla","Palomares del Río","CSSC de Palomares del Río","C/ Mairena s/n"
"Sevilla","Pedroso, El","CSP El Pedroso","Bda. San Cristobal, parcelas 12, 13 y 14"
"Sevilla","Peñaflor","CSSC de Peñaflor","Pza. de la Libertad s/n"
"Sevilla","Pilas","CSSC de Pilas","Pza. del Cabildo nº 1"
"Sevilla","Pilas","CSSC de Pilas","C/ Marqués de Santillana nº66"
"Sevilla","Pruna","Centro de Atención para Hijos de Trabajadores Temporeros","Ctra. De Morón, s/n"
"Sevilla","Pruna","CSSC Pruna","C/ Real, 2"
"Sevilla","Puebla de Cazalla, La","CSP La Puebla de Cazalla","C/ Victoria, nº 31"
"Sevilla","Puebla de Cazalla, La","CSSC La Puebla de Cazalla","C/ Victoria, nº11"
"Sevilla","Puebla del Rio","CSSC La Puebla del Río","C/ Sta. María nº 5"
"Sevilla","Rinconada, La","CSSC La Rinconada","C/ Alberto Lista nº 9"
"Sevilla","Rinconada, La","Centro de acogida Marginados sin Hogar (Centro Casa David)","C/ Los Carteros, nº 2. San José de la Rinconada"
"Sevilla","Rinconada, La","CSSC La Rinconada","C/ Alberto Lista nº 32"
"Sevilla","Ronquillo, El","Centro Eben-Ezer de Rehabilitación. El Ronquillo","Fincas Lapas y Calamones s/n"
"Sevilla","Ronquillo, El","CSSC El Ronquillo","Avda. de Andalucía nº 73"
"Sevilla","Ronquillo, El","CSSC El Ronquillo","C/ Maestro Falla nº 1"
"Sevilla","Salteras","CSSC de Salteras","C/ Blanco White nº 13"
"Sevilla","San Juan de Aznalfarache","CAMH ""Regina Mundi""","Avda. de las Erillas nº 1"
"Sevilla","San Juan de Aznalfarache","CSSC San Juan de Aznalfarache","C/ Conde de Barcelona nº75 (antes C/ General Sanjurjo)"
"Sevilla","Sanlucar la Mayor","CSSC Sanlúcar Mayor","C/ Juan Delgado nº 2"
"Sevilla","Santiponce","CSSC Santiponce","C/ Juan M. Carbonell Barrios"
"Sevilla","Sevilla","Centro de Acogida Inmigrantes Extranjeros","C/ Aguilas, 5"
"Sevilla","Sevilla","Centro de Acogida ""Casa Abierta""","C/ Mayas, nº 7 (Aantiguo Rodriguez Escobedo, 42)"
"Sevilla","Sevilla","CSP ""Cruz Roja""","C/ Amor de Dios, 6"
"Sevilla","Sevilla","CAMH ""Miguel de Mañara""","C/ Perafán de Rivera nº 12"
"Sevilla","Sevilla","CSP ""AFAR""","Huerta de Mato Donato. Barrio de la Macarena"
"Sevilla","Sevilla","Casa Familia ""Villa Teresita""","C/ Torrijos, nº 4"
"Sevilla","Sevilla","Comedor ""Ntra. Sra. del Rosario""","C/ Pages dell Corro, nº 32"
"Sevilla","Sevilla","Comedor ""San Vicente de Paúl""","C/ Aniceto Saenz, nº 5"
"Sevilla","Sevilla","CSP ""San Antonio de Padua""","Plaza de las Acacias, s/n"
"Sevilla","Sevilla","Centro de Información para  migraciones",
"Sevilla","Sevilla","Centro Acogida Comunidad de los Bienanventurados","C/ Feria, nº 112"
"Sevilla","Sevilla","Centro de Acogida Municipal","C/ Perafan de Ribera, s/n"
"Sevilla","Sevilla","CSP ""Villela or Chive""","Bda. La Paz, Local 13"
"Sevilla","Sevilla","CSSC ""Torreblanca""","Parcela A UA-TO3 (C/Mitra) Torreblanca"
"Sevilla","Sevilla","CSSC ""San Jerónimo""","C/ Mejillón nº 67          (Parcela SUP-PM I)"
"Sevilla","Sevilla","CSSC ""Los Bermejales""","Parcela S2 SUP-GU-4. Los Bermejales"
"Sevilla","Sevilla","CSSC ""Polígono Sur-Las Letanías""","Avda. de La Paz esq. C/Reina de los Ángeles"
"Sevilla","Sevilla","CSP ""Religiosas Oblatas""","C/ Antonio Susillo, 30 – 2º"
"Sevilla","Sevilla","CSSC ""Cerro-Su Eminencia"" (antes ""Rochelambert"")","C/ Tarragona (Plaza Onesimo Redondo, Bda. Ntra. Sra.de los Reyes)"
"Sevilla","Sevilla","CSSC ""Nervión-San Pablo""","Avda. Pedro Romero, s/n"
"Sevilla","Sevilla","CSSC ""Macarena""","C/ Fray Isidoro de Sevilla s/n"
"Sevilla","Sevilla","CSSC ""AFAR""","Plaza Olympia, 15 – Edif. Los Porches"
"Sevilla","Sevilla","CSSC ""Alcosa-Pol. Aeropuerto""","C/ India, Local 13"
"Sevilla","Sevilla","Centro de Acogida Marginados sin Hogar ""Centro Amigo""","C/ Torrijos, nº 4"
"Sevilla","Sevilla","CSSC ""Pol. Aeropuerto""","Avda. De las Ciencias Esq. C/ Gema"
"Sevilla","Sevilla","CSSC ""Ctra. Carmona-La Calzada""","C/ Marqués de Nervión 75"
"Sevilla","Sevilla","CSSC ""Pol. San Pablo""","C/ Pedro Romero s/n"
"Sevilla","Sevilla","CSSC ""Norte"" (antiguo ""Los Carteros-Pino Montano"")","C/ Despeñaperros Esq. C/ Olmo"
"Sevilla","Sevilla","CSSC ""Tres Barrios-Amate""","C/ Gaviota (Bda. La Candelaria)"
"Sevilla","Sevilla","CSSC ""Tiro de Línea""","Plaza Alcalde Horacio Hermoso Araujo"
"Sevilla","Sevilla","CSSC ""Pol. Norte""","C/ Doctor Fedriani"
