"DIRECCION","LOCALIDAD","provincia","NUMERO"
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA","MALAGA","Málaga",314
"C/ TABLADILLA, S/N 41013 SEVILLA","SEVILLA","Sevilla",208
"TIENDAS, 12 ALMERIA","ALMERIA","Almería",147
"AVENIDA HYTASA, 14 SEVILLA","SEVILLA","Sevilla",137
"PASEO ALMERIA, 68 ALMERIA","ALMERIA","Almería",131
"C/ VERMONDO RESTA, S/N. SEVILLA","SEVILLA","Sevilla",119
"JUAN ANTONIO VIZARRON-EDF.TORRETRIANA (ISLA DE LA CARTUJA)","SEVILLA","Sevilla",112
"CALLE COMPOSITOR LEHMBERG RUIZ, 22 MALAGA","MALAGA","Málaga",109
"AVDA ISAAC NEWTON, 6ª PLANTA (PABELLON ITALIA). ISLA DE LA CARTUJA","SEVILLA","Sevilla",108
"AVENIDA LA INNOVACION, S/N SEVILLA","SEVILLA","Sevilla",108
"HYTASA, 14 SEVILLA","SEVILLA","Sevilla",99
"TORRETRIANA. CALLE JUAN ANTONIO VIZARRON S/N ISLA LA CARTUJA SEVILLA","SEVILLA","Sevilla",93
"C/ ALBERT EINSTEIN S/N EDIFICIO WALL TRADE CENTER PARCELA TA-16.2 SEVILLA","SEVILLA","Sevilla",93
"PLAZA DE LA CONSTITUCION, S/N ALGECIRAS","ALGECIRAS","Cádiz",85
"PLAZA ASDRUBAL , S/N CADIZ","CADIZ","Cádiz",85
"AVDA LA AURORA 56 MALAGA","MALAGA","Málaga",84
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN) SEVILLA","SEVILLA","Sevilla",82
"PLAZA DE LA CONSTITUCION, 4 CORDOBA","CORDOBA","Córdoba",79
"AVENIDA CARLOS III, S/N. (ANTIGUO EDIFICIO LA PRENSA) SEVILLA","SEVILLA","Sevilla",75
"PLAZA ESPAÑA, 19 CADIZ","CADIZ","Cádiz",75
"AVENIDA DEL SUR, 5 GRANADA","GRANADA","Granada",74
"AVDA DE LA ARBOLEDA, S/N","TOMARES","Sevilla",73
"DOMICILIO NUEVO: C/ CORDOBA 4, 29001 MALAGA MALAGA","MALAGA","Málaga",72
"AV LA INNOVACION, S/N. EDIFICIO MINISTER. SEVILLA SEVILLA","SEVILLA","Sevilla",72
"PLAZA LAS BATALLAS, 3 (CASTILLA, 4) JAEN","JAEN","Jaén",71
"AV. DEL SUR 11-13 - 18070 GRANADA GRANADA","GRANADA","Granada",70
"CALLE LOS MOZARABES, 8 HUELVA","HUELVA","Huelva",66
"CALLE JACINTOS 4 ESQUINA CALLE PERGOLAS CON CALLE TAMARINDOS CADIZ","CADIZ","Cádiz",65
"PLAZA LA MINA, 8 Y 10 CADIZ","CADIZ","Cádiz",65
"PL ASDRUBAL S/N. EDIFICIO JUNTA ANDALUCIA.3ª PLANTA. 11008. CADIZ. CADIZ","CADIZ","Cádiz",64
"Plaza Nueva, 4","SEVILLA","Sevilla",64
"AVDA. TOMAS GARCIA FIGUERAS, 14 JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","Cádiz",61
"CALLE SANTO TOMAS AQUINO, S/N CORDOBA","CORDOBA","Córdoba",61
"CALLE JUAN ANTONIO VIZARRON, EDIFICIO TORRETRIANA (ISLA LA CARTUJA) SEVILLA","SEVILLA","Sevilla",61
"PLAZA ISABEL LA CATOLICA, 9 HUELVA","HUELVA","Huelva",61
"C/ SANLUCAR BARRAMEDA 3, 21071. HUELVA HUELVA","HUELVA","Huelva",60
"AVDA. ALCALDE ALVARO DOMECQ, 1 JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","Cádiz",60
"AVENIDA RONDA TAMARGUILLO, S/N SEVILLA","SEVILLA","Sevilla",60
"SEVILLA, 14 CORDOBA","CORDOBA","Córdoba",58
"PASEO LA CARIDAD, 125. FINCA SANTA ISABEL. ALMERIA","ALMERIA","Almería",57
"AV. MANUEL SIUROT, 50. 41013 SEVILLA","SEVILLA","Sevilla",57
