TIPO_VIA,NOMBRE_VIA,NUM_PORTAL,MUNICIPIO,PROVINCIA,NOMBRE,CÓDIGO POSTAL,TELÉFONO 1,EMAIL
,ARZOBISPO PEDRO CASTRO EDIF COLUMBA I,,GRANADA,GRANADA,ASOCIACIÓN REGIONAL ANDALUZA DE MUJERES SORDAS  ARAMUS,18013,958842075,ARAMUS55@HOTMAIL.COM
CALLE,INFANTA DOÑA MARIA,4,CORDOBA,CORDOBA,FED. ANDALUZA DE ASOCIACIÓN DE MUJERES VIUDAS,14005,957233447,
CALLE,GARCIA VINUESA,22,SEVILLA,SEVILLA,FED. ANDALUZA DE MUJERES EMPRESARIAS,41001,954-99-09-91/92,INFO@EMPRESARIASANDALUZAS.ES
,MORATIN,6,SEVILLA,SEVILLA,FED. ANDALUZA DE CONSUMIDORES Y AMAS DE CASA AL-ANDALUS,41001,954564102,CONSUMIDORES@FED-ALANDALUS.ES
PLAZA,ALCALDE JOSE GONZALEZ,S/N,BORNOS,CADIZ,FED. ASOCIACIÓN DE MUJERES SIERRA DE CÁDIZ  FEMSICA,11640,956 729128,SIERRA.CADIZ@CDRTCAMPOS.ES
CALLE,SALVADOR TAVORA ,S/N,SEVILLA,SEVILLA,FED. DE ASOCIACIÓNES DE MUJERES DISTRITO ESTE,41006,0,
,SANTA MARIA,14,SEVILLA,SEVILLA,FED. DE MUJERES PROG. POR LA IGUALDAD FAMPIS,41008,0,
,TETUAN,34,LINARES,JAEN,FED. PROV DE MUJERES PROGRESISTAS DE JAEN- FAMPIJ,23700,956603031,
CALLE,MADRE SOLEDAD TORRES ACOSTA,10,JAEN,JAEN,FED. PROVINCIAL ASOCIACIÓN AMAS DE CASA TRES MORILLAS,23001,953261156,
,ALBERTO LISTA,16,SEVILLA,SEVILLA,FEDERACION ASOCIACIÓN DE MUJERES PARA LA COMUNICAC,41003,0,
URB,TORRES COLON,3,VELEZ MALAGA,MALAGA,FEDERACIÓN AXARQUIA DE ASOCIACIÓN DE MUJERES,29740,605 585 354,
CALLE,SAN ISIDRO,,DOS TORRES,CORDOBA,FEDERACIÓN COMARCAL DE ASOCIACIONES DE MUJERES DE LOS PEDROCHES,14460,6629977013,
CALLE,ANGUSTIAS,S/N,NIGUELAS,GRANADA,FEDERACIÓN DE A.A.M.M. VALLE DE LECRIN,18657,958781559,
CALLE,PAZ,9,MOLLINA,MALAGA,FEDERACIÓN DE ASOCIACIÓNES DE MUJERES COMARCA DE ANTEQUERA (FAMCA),29532,952740566,
,APDO CORREOS,16,ORGIVA,GRANADA,FEDERACIÓN DE ASOCIACIONES DE MUJERES DE LA ALPUJARRA,18400,608740028,FEDERACIONMUJERESALPUJARRA@YOHOO.ES
CALLE,PLCET,25,CANILLAS ACEITUNO,MALAGA,FEDERACIÓN DE ASOCIACIONES DE MUJERES DE LA AXARQUIA INTERIOR  LA MAROMA,29716,952518264,
,JOSE JIMENEZ,27,BAZA,GRANADA,FEDERACIÓN DE ASOCIACIONES DE MUJERES DEL ALTIPLANO GRANADINO,18850,608534327,ASOCIACIONFUENTEDELACANALILLA@HOTMAIL.ES
