"T_NUM_EXP";"T_TITULO";"T_DESCRIPCION";"C_UNI_ORG_ENVIA";"D_OBJETO";"F_ENTRADA_FASE";"C_IDPROD_CATALOGO";"N_UNIDADES_PROD";"N_PRECIO_PROD";"L_OFERTA_PUNTUAL";"D_FORMA_ADJ";"N_IMPORTE"
"000009/2014/IDEA/CAT";"ALQUILER DE 7 FOTOCOPIADORA COLOR VELOCIDAD COLOR DE 30 A 39 COPIAS/MINUTO";"ALQUILER DE 7 FOTOCOPIADORA COLOR VELOCIDAD COLOR DE 30 A 39 COPIAS/MINUTO, MARCA RICOH, MODELO MPC3002AD";"IDEA";"Suministro";07/01/14;"";;;"N";"Encargo de ejecución";0
"000014/2014/CJI/CAT";"SUMINISTRO DE FOTOCOPIADORAS, PARA LA UNIDAD DE POLICIA ADSCRITA.";"";"CJI";"Suministro";08/01/14;"";;;"S";"Contrato Menor";21113,1
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321130100060";10;556,6;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131000190";10;215,38;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131005290";10;67,76;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100371";10;76,59;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100591";3;22,99;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100601";7;46,95;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100731";10;30,25;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101001";9;27,35;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101111";10;19,97;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101291";10;111,32;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101521";10;-4,84;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321130100060";10;556,6;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131000190";10;215,38;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131005290";10;67,76;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100371";10;76,59;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100591";3;22,99;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100601";7;46,95;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131100731";10;30,25;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101001";9;27,35;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101111";10;19,97;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101291";10;111,32;"N";"Contrato Menor";11374,07
"002200/2013/CEIC-AAE-SG/CAT";"RENOVACION EQUIPOS SOBREMESA";"RENOVACION EQUIPOS SOBREMESA";"CEIC-AAESG";"Suministro";08/01/14;"321131101521";10;-4,84;"N";"Contrato Menor";11374,07
"000015/2014/CSBS-EPES/CAT";"Suministro de PCs clientes ligeros ";"";"CSBS-EPES";"Suministro";09/01/14;"";;;"N";"Procedimiento abierto (LCSP)";0
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321290100311";20;585,64;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321290100311";30;585,64;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291004060";20;68,06;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291004380";20;24,2;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291104281";20;73,81;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291104351";20;42,35;"N";"Otras formas de ejecución";38380,6
