"ID de respuesta","Fecha de envío","Última página","Lenguaje inicial","Fecha de inicio","Fecha de la última acción","Dirección IP","URL de referencia","Indique a qué organismo está asociado en el servicio","Rol que ocupa en su organización con respecto al Servicio Corporativo Oracle","¿Cubre el Servicio Corporativo Oracle sus necesidades en cuestión de licencias de productos?","¿Le resulta útil la base de conocimientos de My Oracle Support para encontrar soluciones Vd. mismo?","¿Qué nivel medio de calidad de servicio ha recibido en la resolución de SR?","Valore de forma global el nivel de servicio ofrecido por Soporte Básico, My Oracle Support","Haznos llegar cualquier observación relativa al soporte básico y/o su herramienta (MOS)","Evalúe la relación con el gestor de cuenta asignado a su organismo","Capacitación/conocimientos técnicos del equipo de ingenieros Oracle en la tecnología Oracle utilizada en sus sistemas","Rendimiento/eficiencia del equipo de ingenieros Oracle (si responden en tiempo en relación a los hitos acordados)","Eficacia del equipo de ingenieros Oracle (si su trabajo se ajusta a los objetivos marcados y tiene un planteamiento directo, práctico y útil)","Calidad del equipo de ingenieros Oracle (si se esmeran en la calidad de los resultados)","Accesibilidad/disponibilidad del equipo de ingenieros Oracle. Facilidad de interacción y acceso al equipo técnico","Proactividad del equipo de ingenieros Oracle (envío de alertas sobre parches, propuestas de cambio, etc)","Carácter/Disposición del equipo de ingenieros Oracle (carácter, trato, nivel de motivación, etc.)","Grado de implicación en sus proyectos y nivel de conocimiento de su infraestructura por parte del equipo que presta el Servicio Corporativo Oracle","Evalúe de forma global la cualificación y actitud del equipo de ingenieros Oracle que presta servicio a su organismo","Haznos llegar cualquier observación relativa al equipo de ingenieros de Soporte Avanzado: lo que más valoras, lo que habría que mejorar, etc.","Calidad del servicio recibido en la resolución de Incidencias y Consultas por parte de Soporte Avanzado","¿Cubre el Servicio Corporativo Oracle sus necesidades en relación a las actividades que se ejecutan en los Planes de Soporte?","Calidad de servicio recibido en la ejecución de asistencias especializadas y actividades definidas en el Plan de Soporte por parte de Soporte Avanzado.","Haznos llegar cualquier observación sobre la calidad y alcance de los servicios de Soporte Avanzado, tanto reactivo (incidencias y consultas) como proactivo (planes de soporte)","¿Consideras interesantes o útiles para tu organismo las sesiones de conocimiento propuestas para el 2015?","Evalúe el nivel de servicio recibido en relación a las transferencias de conocimiento","Haznos llegar cualquier observación sobre la actividad de transferencias de conocimiento","Valore de forma global el nivel de servicio ofrecido por los servicios de Soporte Avanzado","Haznos llegar cualquier observación relativa al Soporte Avanzado en general","¿Se considera convenientemente informado sobre acceso, uso, procedimientos, herramientas, convocatorias, campañas del servicio? ¿Recibe las noticias sobre el servicio?","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus consultas o peticiones de carácter general a la Dirección de Proyecto","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus peticiones de Solicitud de Acceso al Servicio por parte de CAU","Comentarios generales o propuestas de mejora sobre el diseño general del servicio","En términos globales ¿Cuál es su valoración de la prestación del Servicio Corporativo Oracle en su Organismo durante el último año?","Observaciones generales sobre el servicio recibido","Tiempo total","Temporización del grupo: Organismo y Rol","Temporización de la pregunta: O1","Temporización de la pregunta: O2","Temporización del grupo: Licencias","Temporización de la pregunta: A1","Temporización del grupo: Soporte Básico (SB)","Temporización de la pregunta: BB1","Temporización de la pregunta: BB2","Temporización de la pregunta: B1","Temporización de la pregunta: B2","Temporización del grupo: Soporte Avanzado (SA) - Equipo Técnico","Temporización de la pregunta: C1","Temporización de la pregunta: CC1","Temporización de la pregunta: CC2","Temporización de la pregunta: CC3","Temporización de la pregunta: CC4","Temporización de la pregunta: CC5","Temporización de la pregunta: CC6","Temporización de la pregunta: CC7","Temporización de la pregunta: C2","Temporización de la pregunta: C3","Temporización de la pregunta: C4","Temporización del grupo: Soporte Avanzado (SA) - Servicio","Temporización de la pregunta: C5","Temporización de la pregunta: C6","Temporización de la pregunta: C7","Temporización de la pregunta: C8","Temporización de la pregunta: C9","Temporización de la pregunta: CC9","Temporización de la pregunta: C10","Temporización de la pregunta: C11","Temporización de la pregunta: C12","Temporización del grupo: General - Diseño del Servicio","Temporización de la pregunta: D1","Temporización de la pregunta: D2","Temporización de la pregunta: D3","Temporización de la pregunta: D4","Temporización del grupo: Valoración global","Temporización de la pregunta: E1","Temporización de la pregunta: E2"
"3","2015-05-18 10:13:53","7","es","2015-05-18 10:13:53","2015-05-18 10:13:53","10.238.8.21","","AMAYA - Agencia de Medio Ambiente y Agua de Andalucía","Perfil Técnico","","Bastante","Normal","Normal","La resolución de muchos casos se basan en notas que se pueden encontrar con una búsqueda. En algunas ocasiones, la solución es ""migrar de versión"", cosa que no siempre es posible, además, el tema de por ejemplo, instalar un parche (que también recomiendan), en ocasiones acaba estropeando más cosas de las que arregla, por esto somos tan reticentes a la hora de seguir estas instrucciones de resolución.
","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Sobresaliente al equipo de soporte avanzado de Oracle, tanto en trato como en cuestiones técnicas, ya sean a la hora de dar soporte reactivo o proactivo.","Excelente","Totalmente","Excelente","","Parcialmente","Buena","
Algunas sesiones se han repetido con respecto al año anterior. Sé que se han consultado las temáticas, pero debería darse prioridad a temas nuevos, más que a otros repetidos.","Excelente","","Bastante","Excelente","","Algunas comunicaciones que solo se hacen a los Dinamizadores o Responsables del servicio son más interesantes para los técnicos, o al menos deberíamos enterarnos, y aunque, es un tema interno de cada organismo, en ocasiones, los técnicos no recibimos la información. Creo que en general, todas las comunicaciones deberíamos recibirlas también los perfiles técnicos","Excelente","","744.67","30.63","","","","","179.64","","","","","92.45","","","","","","","","","","","","119.91","","","","","","","","","","151.97","","","","","170.07","",""
"4","2015-05-18 10:15:36","7","es","2015-05-18 10:15:36","2015-05-18 10:15:36","10.228.15.34","","CALRI - Consejería de Administración Local y Relaciones Institucionales","Perfil Técnico","","Bastante","Mala","Normal","La resolución de los SR suele ser lenta y tediosa.","","Excelente","Buena","Buena","Excelente","Buena","Buena","Excelente","Excelente","Buena","Muy bien en general","Buena","Bastante","Buena","N/A","Parcialmente","Buena","Dos de las charlas (Data Guard y Nuevas funcionalidades) ya se vienen dando en años anteriores, pero lamentablemente la gente sigue votando por ellas. Creo que no debería darse la opción de repetir las charlas de otros años, porque a los que asistimos a los cursos con interés, nos parece repetitiva.","Buena","","Bastante","Buena","","","Normal","","258.43","18.89","","","","","40.99","","","","","52.94","","","","","","","","","","","","115.09","","","","","","","","","","15.78","","","","","14.74","",""
"5","2015-05-18 10:16:29","7","es","2015-05-18 10:16:29","2015-05-18 10:16:29","10.227.240.32","","CECD_EDU - Consejería de Educación, Cultura y Deporte, Área de Educación","Representante","Totalmente","","","Buena","","Excelente","","","","","","","","Excelente","","","Buena","Totalmente","Excelente","","Bastante","","","Excelente","","Bastante","Excelente","Buena","","Excelente","","130.73","28.48","","","11.5","","10.71","","","","","19.27","","","","","","","","","","","","31.12","","","","","","","","","","20.25","","","","","9.4","",""
"6","","2","es","2015-05-18 10:18:46","2015-05-18 10:18:46","10.244.77.71","","AEFPA - Andalucía Emprende, Fundación Pública Andaluza","Perfil Técnico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215.85","39.17","","","","","176.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2015-05-18 10:19:23","7","es","2015-05-18 10:19:23","2015-05-18 10:19:23","10.227.240.35","","CECD_EDU - Consejería de Educación, Cultura y Deporte, Área de Educación","Perfil Técnico","","Bastante","Buena","Excelente","","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","","Excelente","Totalmente","Excelente","","","","","Excelente","","Totalmente","Excelente","","","Excelente","","286.42","52.1","","","","","75.47","","","","","60.79","","","","","","","","","","","","59.26","","","","","","","","","","31.78","","","","","7.02","",""
"8","2015-05-18 10:21:55","7","es","2015-05-18 10:21:55","2015-05-18 10:21:55","10.230.65.82","","IFAPA - Instituto de Investigación y Formación Agraria y Pesquera de Andalucía","Perfil Técnico","","Bastante","Buena","Buena","","","Excelente","Excelente","Buena","Buena","Excelente","Buena","Buena","Excelente","Buena","","Buena","Bastante","Buena","","Totalmente","Buena","","Buena","","Bastante","Buena","","","Buena","","145.96","42.42","","","","","22.22","","","","","35.2","","","","","","","","","","","","26.27","","","","","","","","","","13.64","","","","","6.21","",""
"9","2015-05-18 10:25:56","7","es","2015-05-18 10:25:56","2015-05-18 10:25:56","10.226.138.216","","CHAP - Consejería de Hacienda y Administración Pública","Perfil Técnico","","Totalmente","Excelente","Excelente","","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","","Excelente","Totalmente","Excelente","","Totalmente","Excelente","","Excelente","","Totalmente","Excelente","","","Excelente","","166.34","16.89","","","","","71.37","","","","","36.93","","","","","","","","","","","","18.95","","","","","","","","","","7.75","","","","","14.45","",""
"10","","","es","2015-05-18 10:27:18","2015-05-18 10:27:18","170.252.72.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2015-05-18 10:30:45","7","es","2015-05-18 10:30:45","2015-05-18 10:30:45","10.245.184.9","","EXTENDA - Agencia Andaluza de Promoción Exterior","Perfil Técnico","","Bastante","","Buena","","","Excelente","Excelente","Excelente","Excelente","Excelente","Normal","Excelente","Excelente","Excelente","El servicio prestado por el ingeniero de Oracle asignado a nuestro organismo ha sido excelente.","Buena","Totalmente","Excelente","","","Buena","","Excelente","","Bastante","","","No hemos realizado consulta a la Dirección del Proyecto","Excelente","Con el apoyo del técnico avanzado asignado a nuestro organismo hemos realizado la migración de nuestras bases de datos a la versión 11G. El proceso se realizó satisfactoriamente.","2031.42","1001.54","","","","","448.75","","","","","142.74","","","","","","","","","","","","100.46","","","","","","","","","","129.11","","","","","208.82","",""
"12","2015-05-18 10:33:20","7","es","2015-05-18 10:33:20","2015-05-18 10:33:20","37.35.157.184","","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Perfil Técnico","","Bastante","Regular","Normal","","","Buena","Normal","Normal","Normal","Buena","Mala","Buena","Regular","Normal","","Normal","Parcialmente","Normal","","Parcialmente","Normal","","Normal","","Bastante","Normal","","","Normal","","170.36","24.71","","","","","17.18","","","","","54.78","","","","","","","","","","","","38.68","","","","","","","","","","29.81","","","","","5.2","",""
